index,periodo,saldo_inicial,pago_capital,intereses,saldo_final,pago_acumulado,pago_intereses_acum,pago_capital_acum,eficiencia
0,0,164250.0,2041.47,1558.53,162208.53,3600.0,1558.53,2041.47,0.567075
1,1,162208.53,2060.84,1539.16,160147.69,7200.0,3097.69,4102.31,0.5724555555555556
2,2,160147.69,2080.39,1519.61,158067.3,10800.0,4617.3,6182.700000000001,0.5778861111111111
3,3,158067.3,2100.13,1499.87,155967.17,14400.0,6117.17,8282.830000000002,0.5833694444444445
4,4,155967.17,2120.06,1479.94,153847.11,18000.0,7597.110000000001,10402.890000000001,0.5889055555555556
5,5,153847.11,2140.18,1459.82,151706.93,21600.0,9056.93,12543.070000000002,0.5944944444444444
6,6,151706.93,2160.48,1439.52,149546.45,25200.0,10496.45,14703.550000000001,0.6001333333333333
7,7,149546.45,2180.98,1419.02,147365.47,28800.0,11915.470000000001,16884.530000000002,0.6058277777777777
8,8,147365.47,2201.68,1398.32,145163.79,32400.0,13313.79,19086.210000000003,0.6115777777777778
9,9,145163.79,2222.57,1377.43,142941.22,36000.0,14691.220000000001,21308.780000000002,0.6173805555555556
10,10,142941.22,2243.66,1356.34,140697.56,39600.0,16047.560000000001,23552.440000000002,0.6232388888888889
11,11,140697.56,2264.95,1335.05,138432.61,43200.0,17382.61,25817.390000000003,0.6291527777777777
12,12,138432.61,2286.44,1313.56,136146.17,46800.0,18696.170000000002,28103.83,0.6351222222222223
13,13,136146.17,2308.14,1291.86,133838.03,50400.0,19988.030000000002,30411.97,0.64115
14,14,133838.03,2330.04,1269.96,131507.99,54000.0,21257.99,32742.010000000002,0.6472333333333333
15,15,131507.99,2352.15,1247.85,129155.84,57600.0,22505.84,35094.16,0.653375
16,16,129155.84,2374.47,1225.53,126781.37,61200.0,23731.37,37468.630000000005,0.6595749999999999
17,17,126781.37,2397.0,1203.0,124384.37,64800.0,24934.37,39865.630000000005,0.6658333333333334
18,18,124384.37,2419.74,1180.26,121964.63,68400.0,26114.629999999997,42285.37,0.6721499999999999
19,19,121964.63,2442.7,1157.3,119521.93,72000.0,27271.929999999997,44728.07,0.6785277777777777
20,20,119521.93,2465.88,1134.12,117056.05,75600.0,28406.049999999996,47193.95,0.6849666666666667
